43,The bite of a leech is painless due to its own __________,Anaesthetic,Anaesthetic,It Was The First Recognised Dinosaur To Be Named,Yodel,Microwave Oven,SCIENCE_AND_NATURE,2,"{""question_id"":701870,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""choices could be\nshape of the mouth,\nvenom,\nparalysis effect""}",2024-07-17 08:43:10,2024-07-17 08:43:10
45,"It's what ""Nobody knows but Jesus""",Nobody knows the trouble I've seen,Nobody knows the trouble I've seen,Who's that yonder dressed red?,Who's that yonder dressed red?,"""Bless This House""",SPIRITUAL SONGS,2,"{""question_id"":170594,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 08:44:06,2024-07-17 08:44:06
52,In 1964 he was just a prince & a pretender to the Spanish throne,Juan Carlos,Juan Carlos,their ears,Gemini,Poverty,1964,2,"{""question_id"":128428,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""choices\nprince john,\nharry,\ncharming,""}",2024-07-17 08:48:53,2024-07-17 08:48:53
55,"This Netflix series' theme song begins, ""The animals, the animals, trap trap trap till the cage is full""",Orange Is the New Black,Orange Is the New Black,Married... with Children,Rawhide,Orange Is the New Black,TV THEMES,2,"{""question_id"":157910,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""two similar choices one could be.\ndeadpool,""}",2024-07-17 08:50:46,2024-07-17 08:50:46
56,"In the shower scene in ""Psycho"", it was curtains for this Janet Leigh character",Marion Crane,Marion Crane,caffeine,singing,Marion Crane,SHOWERS,2,"{""question_id"":327075,""invalid_context"":false,""spelling"":false,""invalid_choices"":false,""inappropriate_question"":true,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 08:51:18,2024-07-17 08:51:18
61,"The stars on this country's flag represent states, 26 of them; unlike the USA's, its ""federal district"" gets its own 27th star",Brazil,Brazil,Brazil,Brazil,Brazil,FLAGS OF OUR HEMISPHERE,2,"{""question_id"":682363,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Egypt,\nSouth Africa,\nRussia""}",2024-07-17 08:53:14,2024-07-17 08:53:14
82,"To catch prey, chameleons can extend this to a distance nearly twice their body length",their tongue,their tongue,Madagascar,regeneration,their tongue,CHAMELEON,2,"{""question_id"":647822,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""their tail,\ntheir arms,\ntheir neck""}",2024-07-17 09:03:50,2024-07-17 09:03:50
87,In the 1870s John M. Woodworth became the first person to hold this post now held by Dr. Joycelyn Elders,Surgeon General,Surgeon General,doctor of education,a podiatrist,Hippocrates,IS THERE A DOCTOR IN THE HOUSE?,2,"{""question_id"":279852,""invalid_context"":true,""spelling"":false,""invalid_choices"":false,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 09:04:51,2024-07-17 09:04:51
88,This conqueror's third son was nicknamed Rufus because of his ruddy complexion,William,William,King Edward VIII,Charles II,King George VI,BRITISH ROYALTY,2,"{""question_id"":78692,""invalid_context"":false,""spelling"":false,""invalid_choices"":false,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 09:04:54,2024-07-17 09:04:54
12,This city's minor league Bisons baseball team has been drawing more fans than some Major League clubs,Buffalo,Buffalo,Santa Fe,Sun City,"Tampa, Florida",U.S. CITIES,3,"{""question_id"":80881,""invalid_context"":true,""spelling"":false,""invalid_choices"":false,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 08:17:29,2024-07-17 08:17:29
21,"Jane Austen's ""P and P""",Pride and Prejudice,Pride and Prejudice,Pride and Prejudice,Pride and Prejudice,The Sun Also Rises,ALL WE NEED IS A TITLE,3,"{""question_id"":548050,""invalid_context"":false,""spelling"":false,""invalid_choices"":true,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":""Pride and Punishment,\nPride and Power,\nPower and Politics""}",2024-07-17 08:29:54,2024-07-17 08:29:54
24,Honshu volcano (4),Fuji,Fuji,flurry,a femme fatale,Fleming,"CROSSWORD CLUES ""F""",3,"{""question_id"":274089,""invalid_context"":true,""spelling"":false,""invalid_choices"":false,""inappropriate_question"":false,""invalid_category"":false,""other"":false,""remark"":null}",2024-07-17 08:31:41,2024-07-17 08:31:41
