question,answer,choice_1,choice_2,choice_3,choice_4,category
Who was the first President of the United States?,George Washington,Abraham Lincoln,Thomas Jefferson,John Adams,George Washington,History
What is the capital of France?,Paris,Berlin,Madrid,Paris,Rome,Geography
What is the chemical symbol for water?,H2O,CO2,O2,H2O,NaCl,Science
Who played Jack Dawson in the movie Titanic?,Leonardo DiCaprio,Brad Pitt,Leonardo DiCaprio,Tom Cruise,Johnny Depp,Entertainment
How many players are there in a soccer team on the field?,11,9,10,11,12,Sports
Who wrote 'Pride and Prejudice'?,Jane Austen,Charles Dickens,Jane Austen,Emily Brontë,Mark Twain,Literature
Who is known as the 'King of Pop'?,Michael Jackson,Elvis Presley,Freddie Mercury,Michael Jackson,Prince,Music
When did the Titanic sink?,1912,1910,1912,1915,1920,History
What is the largest desert in the world?,Sahara,Gobi,Kalahari,Sahara,Arctic,Geography
What planet is known as the Red Planet?,Mars,Venus,Jupiter,Mars,Saturn,Science
What is the name of the coffee shop in 'Friends'?,Central Perk,Central Perk,Java Junction,Coffee Central,Brewed Awakening,Entertainment
Which country won the FIFA World Cup in 2018?,France,Brazil,Germany,France,Argentina,Sports
Who wrote '1984'?,George Orwell,Aldous Huxley,George Orwell,Ray Bradbury,J.D. Salinger,Literature
Who is the lead singer of the band Queen?,Freddie Mercury,Mick Jagger,Freddie Mercury,Robert Plant,Bono,Music
Who was the first man to walk on the moon?,Neil Armstrong,Buzz Aldrin,Yuri Gagarin,Neil Armstrong,Michael Collins,History
What is the longest river in the world?,Nile,Amazon,Nile,Yangtze,Mississippi,Geography
What gas do plants absorb from the atmosphere?,Carbon dioxide,Oxygen,Nitrogen,Carbon dioxide,Hydrogen,Science
Who directed 'Jaws'?,Steven Spielberg,Martin Scorsese,George Lucas,Steven Spielberg,James Cameron,Entertainment
How many rings are on the Olympic flag?,5,4,5,6,7,Sports
Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald,Ernest Hemingway,F. Scott Fitzgerald,John Steinbeck,William Faulkner,Literature
What band was John Lennon a member of?,The Beatles,The Rolling Stones,The Beatles,Led Zeppelin,The Who,Music
What year did World War II end?,1945,1944,1945,1946,1947,History
What is the smallest country in the world?,Vatican City,Monaco,San Marino,Vatican City,Liechtenstein,Geography
Who won the Best Actor Oscar in 2020?,Joaquin Phoenix,Leonardo DiCaprio,Joaquin Phoenix,Brad Pitt,Tom Hanks,Entertainment
